"","IND_costdiff_secondlast_lstransaction","Z_totalcount","IND_car_age_last3coverage","IND_0_25_percentile_shopping_pt_state","IND_25_50_percentile_shopping_pt_state","IND_50_75_percentile_shopping_pt_state","Ind_D_equalto_most_popular_D_in_state_switch_likelihood","Ind_duration_previous_last_secondlast_different","A","D","E","G","y","Z_time_diff_last_secondlast","IND_time_12_18","Ind_A_same_first_to_last_switch_likelihood","Ind_B_same_first_to_last_switch_likelihood","Z_cost_positivecount","homeowner","Ind_G_same_first_to_last_switch_likelihood","Ind_C_equalto_most_popular_C_in_state_switch_likelihood"
"22",0,1,0,0,1,0,0,0,1,3,0,2,1,540,1,0,0,1,1,0,1
"23",0,2,0,0,0,1,0,0,1,3,1,2,0,300,0,0,0,2,1,0,0
"24",0,2,0,0,1,0,0,0,2,3,1,1,0,240,1,0,0,1,0,0,0
"25",1,4,0,0,0,0,1,1,0,2,0,2,1,60,1,0,0,3,0,0,1
"26",1,2,0,1,0,0,1,0,2,1,1,3,0,60,0,1,1,2,1,1,0
"27",0,2,0,1,0,0,1,0,1,2,1,3,1,0,0,0,0,1,1,0,1
"28",0,2,0,0,1,0,0,0,2,3,0,3,0,0,0,0,0,2,0,0,0
"29",1,1,0,1,0,0,1,1,0,1,0,2,1,180,1,0,0,1,0,0,0
"30",1,3,0,1,0,0,0,0,1,3,0,2,0,60,0,0,0,2,1,0,0
"31",0,2,0,0,1,0,1,0,0,2,0,1,0,540,1,0,1,1,0,1,0
"32",1,3,0,1,0,0,0,0,1,1,0,2,1,60,1,1,0,2,0,1,0
"33",1,4,0,0,0,1,1,0,2,1,1,2,0,60,1,1,0,2,0,0,1
"34",0,4,0,0,0,0,0,0,1,3,0,2,0,480,1,1,0,2,0,0,1
"35",1,3,0,1,0,0,1,0,0,2,0,3,0,240,1,0,0,2,1,0,0
"36",0,2,0,0,1,0,1,0,1,3,0,2,0,60,0,1,0,1,1,0,1
"37",0,1,0,1,0,0,0,0,1,3,0,4,0,0,0,0,0,1,1,0,1
"38",0,2,0,0,0,0,0,0,2,3,0,1,0,60,0,1,1,0,0,1,0
"39",1,5,0,0,0,0,0,0,1,3,0,2,0,360,1,0,0,3,0,0,0
"40",0,3,0,0,0,1,0,0,1,3,1,2,0,60,0,1,1,2,0,1,1
"41",1,1,1,1,0,0,1,0,0,2,0,1,0,60,1,0,0,1,0,0,1
"42",1,7,0,0,0,0,1,0,1,1,1,3,0,60,0,1,1,3,1,1,0
"43",0,4,0,0,0,0,1,1,1,1,0,1,0,240,1,0,0,2,0,0,0
"44",1,1,1,1,0,0,1,1,0,1,0,2,1,60,1,0,1,1,0,1,0
"45",0,4,0,0,1,0,0,1,1,3,1,1,0,60,1,0,1,1,0,1,0
"46",1,1,1,1,0,0,0,0,1,3,0,3,1,60,1,1,0,1,0,1,1
"47",0,3,0,0,0,1,0,0,1,3,1,3,0,60,0,0,0,1,0,0,0
"48",0,1,0,0,1,0,0,0,1,3,1,3,1,8040,1,0,0,1,1,0,0
"49",0,1,0,1,0,0,0,0,1,3,1,3,0,60,0,1,0,1,1,0,0
"50",1,2,0,0,0,1,1,0,1,2,0,2,0,120,1,0,0,2,0,0,0
"51",0,4,0,1,0,0,0,0,1,2,0,3,1,360,1,0,1,2,1,1,1
"52",0,1,0,0,1,0,1,1,1,3,1,3,0,60,0,1,0,1,1,0,1
"53",0,3,0,0,1,0,1,0,1,2,0,1,0,60,1,0,0,1,1,0,0
"54",1,1,1,1,0,0,1,0,1,2,1,2,0,60,0,0,0,1,1,0,0
"55",0,3,0,0,1,0,0,0,1,3,1,2,0,120,0,1,1,2,0,1,1
"56",0,3,0,0,0,1,0,0,1,2,0,1,1,60,1,0,0,2,0,0,0
"57",1,5,0,0,1,0,0,1,1,3,0,1,0,780,0,0,0,3,1,0,1
"58",0,4,0,0,0,0,0,0,1,3,1,4,0,0,0,1,0,2,1,0,1
"59",0,0,0,0,1,0,0,0,1,3,0,3,0,0,0,0,0,0,1,0,0
"60",1,4,0,0,1,0,0,0,0,3,0,2,0,420,0,1,0,1,0,0,1
"61",0,1,0,1,0,0,1,0,2,3,1,4,0,0,0,0,0,1,1,0,0
"62",0,3,0,1,0,0,0,0,1,3,0,2,0,60,1,0,0,2,0,0,0
"63",0,2,0,0,0,0,0,0,0,1,0,1,0,60,1,1,0,1,0,0,0
"64",0,4,0,0,0,1,0,0,1,3,0,2,0,60,0,0,0,2,1,0,0
"65",0,2,0,0,1,0,0,0,0,3,0,2,0,60,1,0,0,2,1,0,0
"66",0,5,0,0,1,0,0,0,2,3,1,3,0,120,0,0,1,3,1,1,1
"67",1,3,0,0,1,0,0,0,1,3,1,2,0,300,0,0,0,2,0,0,1
"68",0,3,0,0,0,1,1,0,1,2,0,2,0,120,0,0,0,3,1,0,0
"69",0,1,0,0,0,0,0,0,1,3,0,1,0,480,0,0,1,1,1,1,1
"70",0,3,0,0,0,1,0,0,0,3,0,1,0,180,0,0,0,2,1,0,1
"71",0,2,0,1,0,0,1,0,1,2,0,2,0,1020,0,0,0,1,0,0,0
"72",0,3,0,1,0,0,1,1,1,2,0,1,1,300,0,1,0,2,0,1,0
"73",0,3,0,0,0,1,1,0,1,2,1,3,1,180,1,0,0,1,0,0,0
"74",0,4,0,0,1,0,1,0,0,2,0,2,0,60,1,1,1,1,0,1,1
"75",0,1,0,1,0,0,1,0,1,2,1,2,0,60,0,0,0,0,1,0,0
"76",1,4,0,0,0,0,1,0,1,3,1,2,1,300,1,0,0,3,1,0,0
"77",0,0,0,1,0,0,0,0,1,3,1,2,0,120,1,0,0,0,1,0,0
"78",0,3,0,0,1,0,0,0,1,3,0,1,0,3540,0,0,0,2,0,0,0
"79",1,4,0,0,0,1,1,0,1,2,1,2,0,60,1,0,0,4,1,0,0
"80",0,2,0,0,0,1,0,0,1,3,1,3,0,60,1,0,0,1,1,0,0
"81",0,4,0,0,1,0,0,0,0,3,0,3,0,60,0,1,0,2,0,0,0
"82",0,4,1,0,0,0,0,0,1,3,1,3,1,0,0,0,0,2,0,0,0
"83",0,5,0,0,1,0,1,0,0,2,0,3,0,900,0,1,0,1,0,0,1
"84",0,5,0,0,0,0,1,0,0,2,0,1,0,180,1,1,0,2,0,0,0
"85",0,0,0,0,1,0,1,0,1,3,1,1,0,60,0,0,0,0,0,0,0
"86",0,7,0,0,0,0,0,0,1,3,1,3,0,60,1,0,1,2,0,1,0
"87",1,4,0,0,0,0,0,0,1,3,0,2,1,360,1,0,0,2,0,0,1
"88",0,4,0,0,0,0,1,0,1,2,0,2,0,60,1,0,1,1,0,1,1
"89",0,4,0,0,0,1,1,0,1,2,1,4,0,540,1,1,0,3,1,0,1
"90",0,3,0,1,0,0,1,0,1,1,0,1,0,60,0,0,1,2,0,1,0
"91",0,3,0,0,0,0,0,0,1,2,1,1,1,360,1,0,1,1,0,1,1
"92",0,5,0,0,0,1,1,0,0,2,0,2,1,60,1,0,0,2,0,1,1
"93",1,5,0,0,0,1,0,0,1,3,0,1,0,60,1,1,1,4,1,1,1
"94",0,2,0,1,0,0,0,0,2,3,0,2,1,60,1,1,0,1,0,1,0
"95",0,2,0,0,0,1,0,0,1,3,0,3,0,0,1,0,0,2,1,0,0
"96",1,6,0,0,0,0,1,0,1,2,1,3,0,60,1,0,0,2,0,0,1
"97",1,2,0,1,0,0,0,0,2,3,1,2,0,60,0,0,0,2,1,0,0
"98",1,3,0,1,0,0,0,0,1,3,0,1,0,120,1,0,0,2,1,0,0
"99",0,5,0,0,0,0,0,0,0,3,0,2,0,60,1,1,0,2,1,0,0
"100",0,2,0,0,0,1,1,0,0,3,0,1,0,360,0,0,0,0,0,0,0
"101",0,3,0,0,1,0,1,0,0,1,0,1,0,60,0,0,0,1,0,0,0
"102",0,3,0,0,0,0,0,0,2,3,1,3,0,1020,1,1,0,1,1,0,1
"103",1,5,0,0,0,1,1,0,2,2,0,2,0,180,0,1,0,2,1,0,1
"104",0,2,0,0,1,0,1,1,0,1,0,2,0,60,0,0,0,1,1,0,0
"105",1,5,0,0,0,0,0,0,1,3,0,1,1,180,1,0,0,3,1,0,1
"106",1,3,0,0,0,1,1,0,1,3,0,2,1,60,0,0,1,2,0,1,0
"107",0,3,0,0,0,0,0,0,1,3,0,2,0,360,0,0,1,2,1,1,0
"108",0,1,0,0,1,0,0,0,1,3,1,3,0,60,1,0,0,1,1,0,0
"109",0,3,0,0,0,1,0,0,1,3,1,2,0,120,1,0,1,3,0,1,0
"110",0,1,0,1,0,0,1,0,1,2,1,2,0,60,0,0,0,1,0,0,0
"111",0,3,0,0,0,1,1,0,0,2,0,4,0,300,0,1,0,2,0,0,1
"112",0,3,0,0,1,0,0,0,1,2,1,3,1,240,1,0,0,1,1,0,0
"113",0,2,0,0,0,1,1,0,1,2,0,2,0,60,1,0,0,1,1,0,0
"114",0,1,0,1,0,0,0,0,1,3,1,1,0,240,0,0,0,1,0,0,0
"115",0,3,0,1,0,0,1,0,0,3,0,3,1,60,1,0,0,2,1,0,0
"116",0,4,0,0,1,0,1,0,0,2,0,3,1,120,1,0,0,2,0,0,0
"117",0,2,0,0,1,0,0,0,1,3,1,2,1,0,1,0,0,2,1,0,0
"118",0,4,0,0,1,0,0,0,2,3,1,1,0,240,1,1,1,2,1,1,0
"119",0,2,0,0,1,0,1,0,0,1,0,2,0,60,1,0,0,1,0,0,0
"120",0,5,0,0,1,0,1,0,2,2,1,1,0,420,1,1,1,3,0,1,0
"121",0,2,0,0,1,0,0,0,1,3,1,2,1,180,1,0,1,1,0,1,1
"122",0,6,1,0,0,0,0,0,1,3,0,2,1,420,1,1,1,3,1,1,1
"123",1,3,0,0,1,0,0,0,1,3,0,2,1,60,1,0,1,2,0,1,1
"124",0,4,0,0,1,0,0,0,1,2,0,2,0,60,1,0,1,2,0,1,0
"125",1,2,0,1,0,0,0,0,1,3,1,2,0,60,0,0,0,1,1,0,0
"126",1,1,1,1,0,0,0,0,1,3,1,2,1,540,0,0,0,1,1,0,0
"127",0,4,0,0,0,0,1,0,1,2,1,1,0,60,0,1,1,3,1,1,1
"128",1,1,1,1,0,0,0,0,1,3,0,2,1,60,1,1,0,1,1,0,0
"129",0,6,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,3,0,0,0
"130",0,1,0,1,0,0,1,0,1,1,1,3,0,60,1,0,0,0,1,0,0
"131",0,1,0,1,0,0,0,0,2,3,0,2,0,60,0,0,0,1,1,0,0
"132",0,2,0,0,1,0,1,0,0,2,0,2,1,0,1,1,1,0,0,1,0
"133",0,2,0,1,0,0,1,0,1,2,1,2,0,120,1,0,0,2,0,0,0
"134",0,3,0,0,0,0,0,0,1,3,1,3,1,300,1,0,0,1,0,0,0
"135",1,5,0,0,0,1,1,0,0,2,0,1,1,480,1,1,1,2,1,1,1
"136",1,4,0,0,1,0,1,1,1,2,1,1,1,60,1,0,0,3,1,0,1
"137",0,4,0,0,0,1,0,0,1,3,1,3,0,1980,1,0,0,2,0,0,0
"138",0,4,0,0,0,1,0,0,1,3,1,4,0,60,1,0,1,3,1,1,1
"139",0,2,0,0,1,0,1,0,1,3,1,2,0,180,1,0,0,1,1,0,0
"140",1,7,0,0,0,0,0,0,1,3,0,3,1,180,1,1,0,3,0,0,0
"141",0,1,0,1,0,0,0,0,1,3,1,3,0,300,0,0,0,0,1,0,1
"142",0,3,0,0,0,0,0,0,1,3,1,2,0,0,1,0,0,2,1,0,1
"143",0,4,0,0,0,0,0,0,0,3,1,3,0,120,0,1,0,3,0,0,1
"144",0,2,0,1,0,0,1,0,2,3,1,2,1,60,1,0,0,0,1,1,0
"145",0,3,0,0,0,0,1,0,1,2,1,2,0,60,0,0,0,1,1,0,1
"146",0,5,0,0,0,1,0,0,1,3,1,4,0,300,1,0,0,3,1,0,0
"147",0,2,0,0,0,0,0,0,0,2,0,2,0,0,1,1,1,1,0,1,0
"148",0,1,0,1,0,0,0,0,1,3,0,2,0,240,0,0,0,1,1,0,0
"149",1,2,0,1,0,0,0,0,1,3,1,1,0,480,1,1,0,2,1,0,1
"150",0,3,0,0,0,1,1,0,1,3,0,3,1,60,0,0,1,1,0,1,0
"151",0,6,0,0,0,0,0,0,0,3,0,1,0,480,1,1,0,1,0,0,1
"152",0,0,0,1,0,0,1,0,1,2,0,1,0,120,1,0,0,0,0,0,0
"153",0,2,0,0,0,0,0,0,1,3,1,2,0,0,0,0,0,2,0,0,0
"154",0,3,0,0,0,0,0,0,1,3,0,1,0,60,1,1,1,1,1,1,1
"155",0,1,0,1,0,0,0,0,1,3,1,2,0,120,1,0,0,0,1,0,0
"156",0,3,0,0,0,1,0,0,1,3,0,3,1,180,1,0,0,1,1,0,1
"157",1,3,0,0,1,0,0,0,1,3,1,3,0,60,0,0,0,3,0,0,1
"158",0,7,0,0,0,0,0,0,1,3,1,3,0,360,1,1,1,2,1,1,1
"159",0,2,0,0,1,0,1,0,1,1,1,2,0,360,1,0,0,2,1,0,0
"160",0,1,0,1,0,0,0,0,1,3,0,1,0,180,1,0,1,0,0,1,0
"161",0,4,0,0,0,0,0,0,1,3,0,3,0,60,0,0,1,3,1,1,0
"162",1,4,0,0,1,0,0,0,1,3,0,3,0,60,0,1,0,3,1,0,0
"163",1,10,0,0,0,0,0,0,0,3,0,3,1,0,1,1,1,5,0,1,0
"164",0,5,0,0,1,0,0,0,1,3,1,2,0,240,1,1,0,4,0,0,0
"165",1,3,0,1,0,0,0,0,1,3,0,4,0,0,0,1,0,3,0,0,0
"166",0,1,0,0,0,0,0,0,1,2,1,1,0,60,1,0,1,1,0,1,0
"167",0,4,0,0,0,1,1,0,1,2,0,2,1,120,0,1,1,1,0,1,1
"168",1,3,0,1,0,0,1,0,0,2,0,3,0,60,0,1,0,1,0,0,0
"169",0,2,0,0,1,0,1,0,2,3,1,1,1,60,1,0,0,1,1,0,1
"170",1,1,1,1,0,0,0,0,1,3,0,1,1,60,1,1,1,1,1,1,0
"171",1,2,0,1,0,0,0,0,1,3,0,3,0,240,1,0,0,1,1,0,0
"172",0,1,0,1,0,0,0,0,1,3,1,3,0,180,0,0,1,1,1,1,1
"173",0,2,0,0,0,1,1,0,1,2,1,3,0,60,1,0,0,2,1,0,1
"174",1,5,0,0,0,0,0,0,1,3,0,2,0,60,1,1,0,4,1,0,1
"175",0,1,0,0,1,0,0,0,1,3,0,4,0,60,1,0,0,1,1,0,0
"176",0,2,0,0,0,0,0,0,1,3,1,3,0,120,1,0,0,1,0,0,0
"177",1,3,0,0,0,1,0,0,2,3,1,3,0,120,1,0,0,2,0,0,0
"178",0,4,0,0,1,0,0,0,1,3,1,2,1,1080,1,0,1,2,1,1,1
"179",0,1,0,0,1,0,0,0,1,3,0,3,0,60,0,0,1,1,1,1,1
"180",0,2,0,0,0,1,0,1,1,3,0,3,1,360,1,1,1,1,0,1,0
"181",0,2,0,0,1,0,1,0,2,2,1,3,0,180,0,1,1,2,0,1,0
"182",0,5,0,0,0,0,1,0,1,1,1,1,0,60,1,1,0,3,1,0,0
"183",1,3,0,1,0,0,0,0,1,2,1,1,0,120,1,0,0,1,0,0,1
"184",0,4,0,0,1,0,0,0,1,3,1,1,0,120,1,0,1,2,1,1,1
"185",1,3,0,1,0,0,0,0,1,1,0,2,1,60,1,1,0,2,0,0,1
"186",0,2,0,1,0,0,0,0,2,3,1,3,0,120,1,0,0,1,1,0,0
"187",0,4,0,0,1,0,0,0,2,3,1,3,0,60,1,0,0,1,0,0,0
"188",0,6,0,0,0,0,0,0,2,1,1,1,0,60,0,1,1,2,0,1,0
"189",1,1,1,1,0,0,0,0,1,3,1,2,1,60,1,0,0,1,1,0,0
"190",0,1,0,0,0,1,1,0,1,1,1,3,1,8580,1,0,0,0,1,1,0
"191",0,4,0,0,0,1,0,0,1,3,1,3,0,60,1,0,0,2,0,0,1
"192",0,2,0,0,0,1,1,0,2,1,1,2,0,60,0,1,0,1,0,0,1
"193",0,3,0,0,0,1,0,0,0,3,0,2,0,60,0,1,0,1,1,0,1
"194",0,2,0,0,1,0,0,0,1,3,1,4,0,120,1,0,1,2,0,1,0
"195",0,0,1,1,0,0,0,0,1,3,1,2,0,60,1,0,0,0,1,0,0
"196",0,2,0,0,1,0,0,0,2,3,0,3,0,60,1,1,0,1,1,0,1
"197",0,2,0,0,0,0,1,0,1,3,0,1,1,540,0,1,0,0,1,0,1
"198",0,3,0,0,0,1,0,0,1,1,1,4,0,10200,1,1,1,2,1,1,0
"199",0,3,0,1,0,0,1,0,0,2,0,2,0,60,1,1,1,1,0,1,0
"200",0,2,0,1,0,0,0,0,0,3,0,4,0,0,1,0,0,2,0,0,0
"201",0,3,0,1,0,0,0,0,0,3,1,2,0,120,1,1,0,1,0,0,1
"202",0,4,0,0,0,0,1,0,1,2,1,1,0,120,0,1,0,2,0,0,1
"203",0,6,0,0,0,0,0,0,0,1,0,2,1,60,1,1,0,1,1,0,0
"204",0,4,0,0,1,0,1,0,0,2,0,1,0,60,1,0,0,1,0,0,1
"205",1,3,0,0,0,1,0,0,2,1,1,2,1,120,0,1,0,2,0,0,0
"206",0,3,0,0,0,1,0,0,0,3,0,1,0,0,0,1,0,1,1,0,0
"207",0,3,0,0,1,0,0,0,1,3,1,1,0,360,0,0,0,2,0,0,0
"208",1,1,0,1,0,0,1,0,1,2,0,2,1,1500,0,0,0,1,0,0,1
"209",0,5,0,0,0,1,0,0,1,1,0,3,1,60,1,0,0,3,0,0,0
"210",0,1,0,0,1,0,0,0,1,3,0,1,0,60,0,1,1,1,1,1,1
"211",0,2,0,0,0,0,0,0,1,3,0,2,0,60,1,0,0,2,0,0,0
"212",0,3,0,0,0,1,1,0,1,2,0,4,0,0,0,0,0,3,0,0,0
"213",0,2,0,0,0,1,1,0,1,2,1,4,0,0,1,0,0,1,1,0,1
"214",0,1,0,0,0,1,1,0,1,1,1,3,0,300,1,0,0,0,1,0,1
"215",0,2,0,1,0,0,0,0,1,3,0,3,1,720,1,0,0,1,1,1,0
"216",0,1,0,1,0,0,0,0,0,3,0,2,0,420,1,1,0,0,0,0,0
"217",0,3,0,0,0,1,1,0,0,2,0,1,0,180,0,1,1,0,1,1,1
"218",0,4,0,0,1,0,0,0,1,3,1,3,0,60,0,0,1,1,1,1,0
"219",1,4,0,0,1,0,1,0,0,3,0,2,0,1800,1,0,0,3,1,0,0
"220",0,5,0,0,1,0,1,0,1,3,1,1,0,600,0,0,0,1,1,0,0
"221",0,1,0,0,1,0,1,0,1,2,0,1,1,60,1,1,0,1,0,1,1
"222",1,1,0,1,0,0,0,0,2,3,1,4,0,60,1,0,0,1,0,0,0
"223",0,2,0,0,0,1,0,0,0,3,0,3,0,720,1,1,0,0,1,0,1
"224",0,6,0,0,0,0,0,0,1,2,0,2,1,60,1,0,0,3,0,0,0
"225",0,3,0,0,0,1,0,0,1,3,1,3,0,540,1,0,0,3,1,0,1
"226",0,3,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,2,1,1,0
"227",1,3,0,0,0,0,1,0,1,2,0,1,0,0,1,1,0,3,1,0,0
"228",0,5,0,0,0,1,0,0,1,3,1,3,1,240,0,0,1,4,0,1,1
"229",0,1,0,1,0,0,0,0,1,3,1,1,0,180,1,0,0,1,1,0,0
"230",0,2,0,0,1,0,1,0,1,2,0,2,0,60,1,0,0,2,0,0,0
"231",0,2,0,0,1,0,0,0,1,2,0,1,1,240,0,0,0,0,1,1,1
"232",0,3,0,0,0,0,1,0,1,2,1,1,0,180,0,1,1,1,0,1,1
"233",1,2,0,0,0,0,1,0,1,2,0,3,0,60,1,1,0,2,0,0,1
"234",1,1,1,1,0,0,0,0,1,3,0,1,0,120,0,1,0,1,1,0,1
"235",1,3,0,0,1,0,0,0,0,3,0,2,0,60,0,1,1,2,1,1,1
"236",0,3,0,1,0,0,0,0,1,3,1,1,0,0,1,1,0,1,1,0,1
"237",1,4,0,0,0,1,1,0,1,2,0,2,0,60,1,1,0,3,0,0,1
"238",1,4,0,0,1,0,0,0,1,3,1,1,1,240,1,0,1,4,1,1,1
"239",0,2,0,1,0,0,0,0,2,3,0,2,0,0,0,0,0,1,1,0,0
"240",0,4,0,0,1,0,1,0,1,2,1,2,0,60,0,1,0,3,0,0,1
"241",0,0,0,1,0,0,0,0,2,3,0,2,0,60,1,0,0,0,0,0,0
"242",0,3,0,0,1,0,1,0,1,2,1,2,0,1080,1,1,1,3,0,1,1
"243",0,2,0,0,1,0,0,0,1,3,1,2,0,300,1,0,0,1,0,0,0
"244",1,2,0,1,0,0,0,0,2,1,1,2,1,120,0,0,1,2,1,1,0
"245",0,2,0,0,0,0,1,1,2,2,0,2,0,60,1,1,0,1,0,0,1
"246",0,3,0,0,1,0,0,0,0,2,0,2,1,60,1,1,0,1,0,1,0
"247",0,5,0,0,0,1,1,0,1,2,1,3,0,60,1,0,0,1,0,0,0
"248",0,2,0,0,0,1,1,0,0,2,0,2,0,60,1,0,0,2,0,0,0
"249",0,0,1,1,0,0,0,0,2,3,1,4,0,0,1,0,0,0,1,0,0
"250",1,10,0,0,0,0,0,0,2,3,0,3,0,60,1,1,0,5,0,0,1
"251",0,1,1,1,0,0,0,0,2,3,0,2,0,540,0,0,0,0,0,0,0
"252",0,0,0,0,1,0,0,0,1,3,1,3,0,60,0,0,0,0,1,0,0
"253",1,4,0,0,1,0,0,0,1,3,1,3,0,420,1,0,0,2,1,0,0
"254",0,1,1,1,0,0,0,0,0,3,0,1,1,0,1,0,0,0,1,1,0
"255",0,1,1,1,0,0,0,0,0,3,1,2,0,120,1,1,0,0,0,0,0
"256",0,2,0,1,0,0,0,0,0,3,0,1,0,120,0,1,1,0,0,1,1
"257",1,4,0,0,0,1,1,0,1,2,1,3,0,120,1,0,1,4,1,1,1
"258",1,4,0,0,1,0,0,0,1,3,0,2,0,1620,1,0,0,3,1,0,0
"259",0,4,0,0,1,0,1,0,1,2,1,2,0,120,0,1,1,2,1,1,1
"260",0,3,0,0,1,0,0,0,2,3,0,1,0,0,1,0,0,2,0,0,0
"261",0,2,0,0,1,0,0,0,1,3,1,1,0,120,0,0,0,1,0,0,0
"262",1,2,0,1,0,0,0,0,1,3,0,3,0,300,0,0,0,2,0,0,0
"263",1,4,0,0,1,0,0,0,2,3,1,3,1,120,1,0,1,3,0,1,0
"264",0,2,0,0,1,0,0,0,1,3,0,3,0,120,0,0,1,2,1,1,1
"265",0,4,0,0,0,0,1,0,2,1,0,2,0,240,1,1,0,2,0,0,0
"266",1,4,0,0,1,0,0,0,1,2,1,1,1,60,1,1,1,3,1,1,0
"267",1,3,0,0,1,0,0,0,1,3,0,1,0,120,1,1,0,2,0,0,1
"268",0,2,0,0,0,0,0,0,0,3,0,2,0,360,0,0,0,2,1,0,0
"269",0,1,0,0,0,0,0,0,1,3,1,2,0,420,1,0,0,1,1,0,0
"270",0,2,0,1,0,0,0,0,1,2,1,2,0,60,1,0,0,0,1,0,0
"271",0,2,0,1,0,0,1,0,1,2,0,2,0,360,0,0,0,1,1,0,0
"272",1,3,0,0,1,0,1,0,0,1,0,2,0,0,1,0,0,3,0,0,0
"273",0,0,0,1,0,0,0,0,1,3,1,3,0,60,0,0,0,0,1,0,0
"274",0,5,0,0,1,0,0,0,1,3,1,3,0,60,1,0,0,2,0,0,0
"275",0,4,0,0,0,1,1,0,0,2,0,2,0,180,1,1,0,2,0,0,1
"276",0,1,0,0,0,0,0,0,1,3,0,3,0,60,0,0,0,0,0,0,0
"277",0,1,0,0,0,1,0,0,0,3,0,2,0,0,1,0,0,1,1,0,1
"278",0,4,0,0,0,1,0,0,0,3,1,4,1,60,0,1,0,3,1,0,0
"279",0,4,0,0,0,0,1,0,0,2,0,1,1,120,1,1,1,2,0,1,1
"280",1,3,0,1,0,0,0,0,1,3,0,3,1,60,0,0,0,2,0,0,0
"281",0,4,0,0,0,1,0,0,1,3,1,1,0,300,0,0,1,2,0,1,1
"282",0,1,0,1,0,0,0,0,1,3,1,1,0,0,1,1,1,1,0,1,0
"283",0,5,0,0,0,1,1,0,2,1,0,3,0,0,0,1,0,2,1,0,0
"284",0,3,0,0,1,0,1,0,2,2,0,2,0,240,1,1,0,2,0,0,0
"285",0,2,0,0,1,0,1,0,2,2,1,3,0,60,0,1,0,1,0,0,0
"286",0,2,0,0,1,0,1,0,0,1,0,2,0,120,0,1,1,1,0,1,0
"287",0,6,0,0,0,0,1,0,2,3,1,1,0,120,0,1,1,4,1,1,1
"288",0,3,0,0,0,0,1,0,0,2,0,3,0,180,1,0,0,1,0,0,1
"289",0,1,0,0,1,0,1,0,0,1,0,2,0,60,1,1,0,0,0,0,0
"290",0,0,0,1,0,0,1,0,1,2,0,1,0,180,1,0,0,0,0,0,0
"291",0,5,0,0,0,1,0,0,1,3,1,1,0,1440,1,0,1,2,1,1,1
"292",0,0,1,1,0,0,0,0,1,3,1,2,0,0,1,0,0,0,1,0,0
"293",0,4,0,0,0,0,1,0,0,1,0,1,0,60,0,0,0,2,0,0,0
"294",0,3,0,0,0,0,0,0,0,3,0,3,0,300,0,1,0,2,0,0,1
"295",1,1,1,1,0,0,0,0,1,3,1,3,0,0,0,0,1,1,1,1,0
"296",0,3,0,0,1,0,0,0,1,3,1,2,1,540,0,0,1,1,1,1,1
"297",0,3,0,1,0,0,0,0,1,3,0,3,0,120,0,0,1,1,1,1,1
